"Task ID","Created At","Completed At","Last Modified",Name,Assignee,"Due Date",Tags,Notes,Projects,"Parent Task"
2897,2017-03-07,1970-01-01,1970-01-01,"iOS App UX Design, Feature &amp; Bug Review","sadequr_rahman,Maher Murshed,Justine Diener",2017-03-23,,,"Navigate Application Development",
2899,2017-03-01,1970-01-01,1970-01-01,"Recruit a Graphic Designer for UX designing","David Cheung,Peter Palarchio",2017-04-20,,,"Navigate Application Development","HR Tasks"
2901,2017-03-01,1970-01-01,1970-01-01,"Remove log in options through social accounts",,2017-03-01,,,"Navigate Application Development","UX Design, Features and Bug Review"
2902,2017-03-01,1970-01-01,1970-01-01,"Forgot password button action to be active",,2017-03-01,,,"Navigate Application Development","UX Design, Features and Bug Review"
2903,2017-03-01,1970-01-01,1970-01-01,"Change transition speed for My Feed &amp; Chat Panel slide-in","sadequr_rahman,Maher Murshed",2017-03-01,,,"Navigate Application Development","UX Design, Features and Bug Review"
2904,2017-03-01,1970-01-01,1970-01-01,"New chat messages should be populated on My Feed","sadequr_rahman,Maher Murshed",2017-03-01,,,"Navigate Application Development","UX Design, Features and Bug Review"
2905,2017-03-01,1970-01-01,1970-01-01,"Chat Group members can be added by pressing tab or enter on member's name","sadequr_rahman,Maher Murshed",2017-03-01,,,"Navigate Application Development","UX Design, Features and Bug Review"
2906,2017-03-01,1970-01-01,1970-01-01,"Pages to be designed for Project &amp; To-do where there is no data","sadequr_rahman,Maher Murshed",2017-03-01,,,"Navigate Application Development","UX Design, Features and Bug Review"
2907,2017-03-01,1970-01-01,1970-01-01,"By default sub-tasks should be expanded","sadequr_rahman,Maher Murshed",2017-03-01,,,"Navigate Application Development","UX Design, Features and Bug Review"
2908,2017-03-01,1970-01-01,1970-01-01,"Task &amp; Sub-task row gaps to be fixed","sadequr_rahman,Maher Murshed",2017-03-01,,,"Navigate Application Development","UX Design, Features and Bug Review"
2909,2017-03-01,1970-01-01,1970-01-01,"Task Title is not refreshing upon change","sadequr_rahman,Maher Murshed",2017-03-01,,,"Navigate Application Development","UX Design, Features and Bug Review"
2910,2017-03-01,1970-01-01,1970-01-01,"Create to-do from a chat text","sadequr_rahman,Maher Murshed",2017-03-01,,,"Navigate Application Development","UX Design, Features and Bug Review"
2911,2017-03-01,1970-01-01,1970-01-01,"When chat window pop-out, background screen is not looking nice. Need some options to fix that.","sadequr_rahman,Maher Murshed",2017-03-01,,,"Navigate Application Development","UX Design, Features and Bug Review"
2912,2017-03-01,1970-01-01,1970-01-01,"Number of tasks to be printed on dashboard &amp; the circle should show the progress %","sadequr_rahman,Maher Murshed",2017-03-01,,,"Navigate Application Development","UX Design, Features and Bug Review"
2913,2017-03-01,1970-01-01,1970-01-01,"Some sort of marking to show that we are on dashboard","sadequr_rahman,Maher Murshed",2017-03-01,,,"Navigate Application Development","UX Design, Features and Bug Review"
